T: 2017-07-14T05:00:00Z | O: 5.0E-5 | H: 5.48E-5 | L: 1.0E-5 | C: 4.955E-5 | V: 6853648.0 | MOM: NaN
T: 2017-07-14T06:00:00Z | O: 4.946E-5 | H: 4.946E-5 | L: 3.9E-5 | C: 4.429E-5 | V: 1734798.0 | MOM: NaN
T: 2017-07-14T07:00:00Z | O: 4.429E-5 | H: 4.89E-5 | L: 4.361E-5 | C: 4.8E-5 | V: 998661.0 | MOM: NaN
T: 2017-07-14T08:00:00Z | O: 4.799E-5 | H: 4.841E-5 | L: 4.7E-5 | C: 4.78E-5 | V: 537448.0 | MOM: NaN
T: 2017-07-14T09:00:00Z | O: 4.78E-5 | H: 4.79E-5 | L: 4.331E-5 | C: 4.41E-5 | V: 249900.0 | MOM: NaN
T: 2017-07-14T10:00:00Z | O: 4.411E-5 | H: 4.678E-5 | L: 4.282E-5 | C: 4.282E-5 | V: 183871.0 | MOM: NaN
T: 2017-07-14T11:00:00Z | O: 4.282E-5 | H: 4.5E-5 | L: 4.215E-5 | C: 4.49E-5 | V: 202839.0 | MOM: NaN
T: 2017-07-14T12:00:00Z | O: 4.49E-5 | H: 4.8E-5 | L: 4.45E-5 | C: 4.537E-5 | V: 420888.0 | MOM: NaN
T: 2017-07-14T13:00:00Z | O: 4.406E-5 | H: 4.536E-5 | L: 4.36E-5 | C: 4.362E-5 | V: 147640.0 | MOM: NaN
T: 2017-07-14T14:00:00Z | O: 4.361E-5 | H: 4.7E-5 | L: 4.358E-5 | C: 4.4E-5 | V: 208773.0 | MOM: NaN
T: 2017-07-14T15:00:00Z | O: 4.4E-5 | H: 4.4E-5 | L: 4.357E-5 | C: 4.357E-5 | V: 185013.0 | MOM: NaN
T: 2017-07-14T16:00:00Z | O: 4.356E-5 | H: 4.356E-5 | L: 4.216E-5 | C: 4.266E-5 | V: 122261.0 | MOM: NaN
T: 2017-07-14T17:00:00Z | O: 4.266E-5 | H: 4.266E-5 | L: 4.02E-5 | C: 4.02E-5 | V: 90915.0 | MOM: NaN
T: 2017-07-14T18:00:00Z | O: 4.021E-5 | H: 4.2E-5 | L: 4.02E-5 | C: 4.199E-5 | V: 6867.0 | MOM: NaN
T: 2017-07-14T19:00:00Z | O: 4.199E-5 | H: 4.199E-5 | L: 4.199E-5 | C: 4.199E-5 | V: 0.0 | MOM: -7.559999999999995E-6
T: 2017-07-14T20:00:00Z | O: 4.016E-5 | H: 4.016E-5 | L: 4.0E-5 | C: 4.0E-5 | V: 37999.0 | MOM: -4.2899999999999945E-6
T: 2017-07-14T21:00:00Z | O: 4.0E-5 | H: 4.002E-5 | L: 4.0E-5 | C: 4.001E-5 | V: 11643.0 | MOM: -7.990000000000003E-6
